data,text,sent,favorites,retweets
Fri Sep 27 21:07:07 +0000 2019,'The difference between the right and the left:

When Donald Trump took office, his sons stopped engaging in oversea… https://t.co/5hGSiQ2hyS',0.128,22988,11634
Fri Sep 27 14:46:27 +0000 2019,'Donald Trump is a spoiled brat. 

He grew up as a very rich kid. And now he thinks he can do anything he wants. 

M… https://t.co/vBsdpkosO2',0.5984,81394,12532
Sat Sep 28 01:15:49 +0000 2019,Every single undocumented person I know respects this country infinitely more than Donald Trump.,0.3182,81445,10372
Sun Sep 29 03:01:32 +0000 2019,'RT @charliekirk11: Democrat hypocrisy:

Hillary Clinton said Donald Trump turned “American diplomacy into a cheap extortion racket”

Really…',0.0,0,2548
Sun Sep 29 03:01:32 +0000 2019,'RT @PalmerReport: Donald Trump has unveiled his new strategy for saving himself: he''s sending Lindsey Graham and Rudy Giuliani on televisio…',0.0,0,540
Sun Sep 29 03:01:30 +0000 2019,'RT @thebradfordfile: This latest chapter in the disturbing plan to destroy our president, his family, and everything he holds dear simply b…',-0.6369,0,871
Sun Sep 29 03:01:29 +0000 2019,'RT @charliekirk11: Democrat hypocrisy:

Hillary Clinton said Donald Trump turned “American diplomacy into a cheap extortion racket”

Really…',0.0,0,2548
Sun Sep 29 03:01:29 +0000 2019,'RT @bbusa617: Watergate Journalist: Barr Preparing To Drop Proof of ''Deep State Conspiracy'' https://t.co/l7SNKY1nUq

CARL BERNSTEIN: "Barr…',-0.6705,0,567
Sun Sep 29 03:01:29 +0000 2019,RT @BillKristol: “Those who inflict the presidential Twitter feed upon themselves know that Trump has for a long time complained about an e…,-0.4019,0,148
Sun Sep 29 03:01:29 +0000 2019,'@marx_knopfler Thing is, lately they''ve been saying the quiet part rather loudly: 

https://t.co/8zglByy6TW',0.0,0,0
Sun Sep 29 03:01:29 +0000 2019,RT @peterwallsten: A must-read from @PhilipRucker⁩: Donald Trump is not the first American president staring down impeachment to nurse a de…,0.0,0,266
Sun Sep 29 03:01:28 +0000 2019,'RT @charliekirk11: Democrat hypocrisy:

Hillary Clinton said Donald Trump turned “American diplomacy into a cheap extortion racket”

Really…',0.0,0,2548
Sun Sep 29 03:01:28 +0000 2019,'RT @SenMcCollister: Donald Trump has set up this precedent masterfully.  With the skill of an cult leader, he has created “true believers”…',0.25,0,60
Sun Sep 29 03:01:28 +0000 2019,'RT @Newsweek: Mitch McConnell says it''s "laughable" to think Donald Trump deserves to be impeached—but what did he say when it was Bill Cli…',0.0,0,32
Sun Sep 29 03:01:27 +0000 2019,'RT @KamalaHarris: Donald Trump isn’t loyal to this country.

Donald Trump is only loyal to Donald Trump.',0.7351,0,6652
Sun Sep 29 03:01:27 +0000 2019,'RT @citizenfreebird: @ProudResister Now is a good time to remember Watergate resulted in the indictment of 69 people, with trials or pleas…',0.4404,0,105
Sun Sep 29 03:01:26 +0000 2019,RT @DeanObeidallah: @realDonaldTrump We need a law called "The Donald J. Trump Act" that makes it clear that a sitting President can be ind…,0.3818,0,376
Sun Sep 29 03:01:26 +0000 2019,'RT @Lrihendry: Calling all Republicans to get behind this President and fight like hell for him and for the American people! 

The left is…',-0.7177,0,323
Sun Sep 29 03:01:26 +0000 2019,'RT @charliekirk11: Democrat hypocrisy:

Hillary Clinton said Donald Trump turned “American diplomacy into a cheap extortion racket”

Really…',0.0,0,2548
Sun Sep 29 03:01:26 +0000 2019,'RT @gordondeeg: State pays Donald Trump''s Doonbeg resort €113k to feed and accommodate gardaí during US President''s visit https://t.co/nAmx…',0.0,0,366
Sun Sep 29 03:01:25 +0000 2019,'RT @WinningWwg1wga: @KamalaHarris Donald Trump is loyal to this country.

Kamala Harris is jealous of Donald Trump.
"FIXED IT"',0.0258,0,23
Sun Sep 29 03:01:24 +0000 2019,'RT @charliekirk11: Democrat hypocrisy:

Hillary Clinton said Donald Trump turned “American diplomacy into a cheap extortion racket”

Really…',0.0,0,2548
Sun Sep 29 03:01:24 +0000 2019,'RT @thebradfordfile: This latest chapter in the disturbing plan to destroy our president, his family, and everything he holds dear simply b…',-0.6369,0,871
Sun Sep 29 03:01:23 +0000 2019,'RT @TVVnoticias: #28Sep Presidente de los Estados Unidos, Donald Trump señalo que los demócratas quieren detenerlo porque él está peleando…',0.0,0,22
Sun Sep 29 03:01:23 +0000 2019,The land of the free is governed by a failure businessman who consider it his own company # impeach #DONALD_TRUMP,0.0,0,0
Sun Sep 29 03:01:22 +0000 2019,'RT @MoooPapa: Democrats are now looking into allegations that Donald Trump burned down Cheryl''s She Shed it is an impeachable offense and N…',-0.25,0,175
Sun Sep 29 03:01:22 +0000 2019,'RT @BettyBowers: Boris Johnson: Facing charges for corruption.

Benjamin Netanyahu: Facing indictments for corruption. 

Donald Trump: Faci…',-0.2732,0,997
Sun Sep 29 03:01:22 +0000 2019,RT @ScottHech: Every single undocumented person I know respects this country infinitely more than Donald Trump.,0.3182,0,10372
Sun Sep 29 03:01:22 +0000 2019,RT @ProudResister: Donald Trump will be the 3rd president in history to be impeached in the House. (We have the votes). What we all need to…,0.0,0,927
Sun Sep 29 03:01:21 +0000 2019,'RT @charliekirk11: Democrat hypocrisy:

Hillary Clinton said Donald Trump turned “American diplomacy into a cheap extortion racket”

Really…',0.0,0,2548
Sun Sep 29 03:01:20 +0000 2019,RT @SenMcCollister: There is a certain segment of the country (many reading this in fact) who will never believe a contrary word about Dona…,0.2732,0,206
Sun Sep 29 03:01:20 +0000 2019,RT @dbongino: This guy weaponized his position as head of the CIA to violate the civil rights of multiple Americans associated with Donald…,-0.4939,0,4927
Sun Sep 29 03:01:20 +0000 2019,'RT @SayWhenLA: In 1987 Donald J. Trump spent $100,000 to publish open letter on "Why America should stop paying to defend countries that ca…',-0.296,0,433
Sun Sep 29 03:01:20 +0000 2019,RT @DeanObeidallah: @realDonaldTrump We need a law called "The Donald J. Trump Act" that makes it clear that a sitting President can be ind…,0.3818,0,376
Sun Sep 29 03:01:20 +0000 2019,RT @sheriffali: #TrumpUkraineFiasco Donald Trump committed Treason but yet called for the Execution of the Whistleblower and the Person tha…,-0.1027,0,5
Sun Sep 29 03:01:20 +0000 2019,'RT @VicMarquez: Aquí se retuitea a Donald Trump. Primero, por su compromiso con la causa de liberación de Venezuela. Segundo, pero no menos…',-0.296,0,84
Sun Sep 29 03:01:20 +0000 2019,'RT @dylanmsmitty: Just to piss off Donald Trump and his supporters, take a moment of silence to remember no indictments, no conspiracy, no…',-0.765,0,397
Sun Sep 29 03:01:20 +0000 2019,RT @TomSteyer: Donald Trump has committed 10+ impeachable offenses. The American people know the truth—and he can’t run from it. The Presid…,-0.1027,0,456
