data,text,sent,favorites,retweets
Fri Sep 27 23:21:55 +0000 2019,Trump’s ad about Joe Biden is a disgrace. Every one of us needs to call this exactly what it is: propaganda. Doing… https://t.co/39KyhmazDX,-0.6369,58183,10254
Fri Sep 27 21:07:07 +0000 2019,'The difference between the right and the left:

When Donald Trump took office, his sons stopped engaging in oversea… https://t.co/5hGSiQ2hyS',0.128,23134,11715
Sat Sep 28 18:30:56 +0000 2019,The Ukrainian prosecutor who swore under oath that he was fired for investigation Joe Biden’s son is still being in… https://t.co/tN8FJE8QuV,-0.5574,10586,6452
Sun Sep 29 04:34:49 +0000 2019,'@RyanAFournier @realDonaldTrump The only difference between be Trump and Biden is that Joe won''t get the chance to be impeached.',-0.1877,0,0
Sun Sep 29 04:34:49 +0000 2019,Escándalo ucraniano también golpea la campaña de Joe Biden https://t.co/5OPCWRhwYO https://t.co/rqfRFX5kQr,0.0,0,0
Sun Sep 29 04:34:48 +0000 2019,'RT @RyanAFournier: @realDonaldTrump Why hasn’t Joe Biden or his son received the treatment that the GOP and Trump are getting?

Biden admit…',0.0,0,692
Sun Sep 29 04:34:46 +0000 2019,'RT @joelpollak: For YEARS, Democrats justified the Obama administration investigations into Trump DURING AN ELECTION by arguing that we had…',-0.0772,0,106
Sun Sep 29 04:34:44 +0000 2019,'RT @TheRISEofROD: Barack Hussein Obama aka Bathhouse Barry Soetoro has been awfully quiet lately...

He urged Quid Pro Joe Biden not to run…',0.0,0,254
Sun Sep 29 04:34:44 +0000 2019,RT @KakDeezNutz: Remember When Joe Biden’s Niece Got no Jail Time Even After $100K Credit Card Scam? https://t.co/O2kgoN0PMu,-0.5106,0,6
Sun Sep 29 04:34:43 +0000 2019,'RT @TheRISEofROD: Barack Hussein Obama aka Bathhouse Barry Soetoro has been awfully quiet lately...

He urged Quid Pro Joe Biden not to run…',0.0,0,254
Sun Sep 29 04:34:41 +0000 2019,RT @MikeBalsamo1: NEWS: AG Bill Barr was “surprised and angry” when he learned Trump lumped him together with Rudy Giuliani in a call with…,0.0,0,2066
Sun Sep 29 04:34:41 +0000 2019,'RT @mitchellvii: Let''s see.  So far, Nancy Pelosi is trying to impeach the President and has called AG Barr a "rogue."

Meanwhile, she has…',0.0,0,397
Sun Sep 29 04:34:40 +0000 2019,RT @GolfGirl_Love: Joe Biden IS NOT a friendly guy in politics or a passive lovely Patriot. Sleepy Joe? Hearing him BRAG about his QUID PRO…,0.4537,0,79
Sun Sep 29 04:34:39 +0000 2019,RT @alexpaulsurfer: The President is head of the DOJ. He was doing his duty  under Treaty 106-16 requesting information re: potential crime…,0.0,0,9
Sun Sep 29 04:34:37 +0000 2019,'RT @RyanBartholomee: “Look, I’m like plastic straws. I’ve been around forever. I’ve always worked. But now you’re mad at me?” - Joe Biden (…',-0.1779,0,35
Sun Sep 29 04:34:35 +0000 2019,'@w_terrence @realDonaldTrump Remember Biden’s niece just confessed to a $100k theft.   Joe Biden''s niece sentenced… https://t.co/PDUZHcYbN2',0.0,0,0
Sun Sep 29 04:34:35 +0000 2019,RT @brianklaas: Trump’s campaign is reportedly putting $10 million into televising an ad to spread lies about Joe Biden. He has invented a…,-0.4215,0,1537
Sun Sep 29 04:34:35 +0000 2019,RT @1Krohmer13: Ex-Ukrainian PM: Ukraine must investigate Joe Biden’s son https://t.co/0JA162weW1 #FoxNews,0.0,0,2
Sun Sep 29 04:34:35 +0000 2019,'@evekendall76 @mrthages @ToyaDee78 @revsusanrussell “Blatant lie”..... 
because joe Biden never admitted to it 😂… https://t.co/Lwq6acFkbj',-0.0762,0,0
Sun Sep 29 04:34:34 +0000 2019,RT @USA_Anne711: 💥💥Wow 👀 Another ‘Biden Bailout’👇👇👇Remember When Joe Biden’s Niece Got no Jail Time Even After $100K Credit Card Scam?  htt…,-0.5106,0,753
Sun Sep 29 04:34:33 +0000 2019,'RT @paulsperry_: "The truth is that I was forced out b/c I was leading a wide-ranging corruption probe into Burisma &amp; Joe Biden''s son, Hunt…',-0.1779,0,424
Sun Sep 29 04:34:31 +0000 2019,'RT @RyanAFournier: @realDonaldTrump “I said, ‘You’re not getting the billion.’

‘I’m leaving here in six hours. If the prosecutor is not fi…',0.0,0,1134
Sun Sep 29 04:34:31 +0000 2019,'RT @RyanAFournier: @realDonaldTrump Why hasn’t Joe Biden or his son received the treatment that the GOP and Trump are getting?

Biden admit…',0.0,0,692
Sun Sep 29 04:34:30 +0000 2019,'RT @TheRISEofROD: Barack Hussein Obama aka Bathhouse Barry Soetoro has been awfully quiet lately...

He urged Quid Pro Joe Biden not to run…',0.0,0,254
Sun Sep 29 04:34:29 +0000 2019,RT @cjcmichel: NEW: There’s one Big Lie at the heart of Trump and his cronies’ efforts to spin Biden and Ukraine: everything Biden did made…,0.0,0,949
Sun Sep 29 04:34:29 +0000 2019,'@eviljonnywad @eliehonig @soledadobrien Already been released.  Here ya'' go. https://t.co/h2nQcf7r3X',0.0,0,0
Sun Sep 29 04:34:29 +0000 2019,'RT @RyanAFournier: @realDonaldTrump Why hasn’t Joe Biden or his son received the treatment that the GOP and Trump are getting?

Biden admit…',0.0,0,692
Sun Sep 29 04:34:27 +0000 2019,'RT @Reuters: Ukraine must investigate Joe Biden''s son, says ex-Ukrainian PM https://t.co/vksuMqXCHi https://t.co/tfw9IaNHLs',0.0,0,58
Sun Sep 29 04:34:25 +0000 2019,'RT @joelpollak: For YEARS, Democrats justified the Obama administration investigations into Trump DURING AN ELECTION by arguing that we had…',-0.0772,0,106
Sun Sep 29 04:34:24 +0000 2019,'RT @charliekirk11: Diane Feinstein had a Chinese spy as her chauffeur for 3 decades—not a crime

Hillary Clinton sold our uranium to Russia…',-0.5423,0,7508
Sun Sep 29 04:34:23 +0000 2019,RT @MattCarterMedia: #SNL gives you Woody Harrelson as Joe Biden and (finally!) Maya Rudolph as Kamala Harris https://t.co/P30B6EA7qa,0.0,0,1
Sun Sep 29 04:34:22 +0000 2019,RT @brianklaas: Trump’s campaign is reportedly putting $10 million into televising an ad to spread lies about Joe Biden. He has invented a…,-0.4215,0,1537
Sun Sep 29 04:34:21 +0000 2019,'RT @paulsperry_: "The truth is that I was forced out b/c I was leading a wide-ranging corruption probe into Burisma &amp; Joe Biden''s son, Hunt…',-0.1779,0,424
Sun Sep 29 04:34:19 +0000 2019,RT @brianklaas: Trump’s campaign is reportedly putting $10 million into televising an ad to spread lies about Joe Biden. He has invented a…,-0.4215,0,1537
Sun Sep 29 04:34:18 +0000 2019,'RT @QBlueSkyQ: @POTUS @GenFlynn The Sting
👉Deep State Whistleblower exposed Joe &amp; Hunter Biden’s corrupt relationship with #Ukraine
👉“Whist…',-0.0772,0,493
Sun Sep 29 04:34:18 +0000 2019,'RT @rolandscahill: Just a reminder that Giuliani’s son works for the Trump administration... 

Maybe he shouldn’t be talking too much about…',0.0,0,908
