data,text,sent,favorites,retweets,longitude,latitude
Sun Sep 29 04:15:13 +0000 2019,|Lookie here!

What's this...it's just @KamalaHarris defending Joe Biden again. https://t.co/afjXZPNYJr|,0.0,17,4,-90.47813565,38.633388
Sun Sep 29 04:13:08 +0000 2019,|Great line from #snl 

“I'm like plastic straws. I've been around forever. I've always worked. And now you're mad a… https://t.co/q77p004QZb|,0.5267,8,2,-86.27053925000001,45.001180000000005
Sun Sep 29 04:11:08 +0000 2019,"I'm like plastic straws. I've been around forever. I've always worked. And now you're mad at me???" - Woody Harrel… https://t.co/WBBj8pM0LU,-0.3049,4,1,-87.732013,41.833584450000004
Sun Sep 29 04:07:33 +0000 2019,|@GunnelsWarren @BernieSanders Joe Biden, y'all. 

https://t.co/ujgDg55aGS|,0.0,0,0,-87.732013,41.833584450000004
Sun Sep 29 04:06:23 +0000 2019,@stevenmazie @nbcsnl And Joe "plastic straw" Biden played by Woody!,0.4003,1,0,-71.35608869999999,41.803749499999995
Sun Sep 29 03:58:55 +0000 2019,|“I’m like plastic straws; I’ve been around for years, I work great, but now you’re MAD at me?!” -Woody Harrelson as Joe Biden #SNLPremiere|,-0.5254,3,0,-76.7722385,38.936693500000004
Sun Sep 29 03:58:34 +0000 2019,|Great line:

Joe Biden, I’m like a straw, I’m made of plastic I’ve been around forever, I always work,and now you d… https://t.co/7PGSpTDwAN|,0.765,5,2,-79.85736349999999,36.090396999999996
Sun Sep 29 03:58:00 +0000 2019,|Woody Harrelson as Joe Biden: "I'm like plastic straws. I've been around forever, I've always worked, and now you'r… https://t.co/DimzwJwAE0|,0.3612,2,0,-79.2725695,43.629311
Sun Sep 29 03:56:54 +0000 2019,|“Look, I’m like plastic straws. I’ve been around forever. I’ve always worked. But now you’re mad at me?” - Joe Bide… https://t.co/b5MGo1id1k|,-0.1779,201,36,-102.104627,31.9942998
Sun Sep 29 03:56:14 +0000 2019,@realDonaldTrump @JGilliam_SEAL Dude! Get your story right! You look dumb for following Trump! https://t.co/TUWma86j1V,-0.6341,0,0,-122.66674049999999,45.728930000000005
Sun Sep 29 03:55:54 +0000 2019,@DeanObeidallah @realDonaldTrump That is not what he said. It has nothing to do with the election. Trump would eat… https://t.co/GE3FtJ5xNm,0.0,0,0,-117.2879235,33.12148405000001
Sun Sep 29 03:54:38 +0000 2019,|Joe Biden has nothing to do with what his son does .

But you sure back the most corrupt president and person ever… https://t.co/kmubzq01W3|,0.3182,0,0,-122.58897445,45.630588599999996
Sun Sep 29 03:54:15 +0000 2019,Lmao Woody Harrelson as Joe Biden. 🤣,0.5994,0,0,-76.62048175000001,39.284712999999996
Sun Sep 29 03:33:58 +0000 2019,|Former Ukraine Prime Minister says country must investigate Hunter Biden

https://t.co/SNS5Pnz5tl|,0.0,0,0,-85.56568850000001,42.290524000000005
Sun Sep 29 03:29:40 +0000 2019,|From Joe Biden, of course.... https://t.co/4yVQg8QFyq|,0.0,0,0,-111.7375657,33.4057545
Sun Sep 29 03:27:41 +0000 2019,|@IlhanMN You believe the Brotherhood, Palestinians, Christine Blasey Ford, Adam Schiff, Joe Biden...I see a pattern|,0.0,1,0,-112.12467670000001,33.552862600000005
